model,N,topo,Q,p,nXy,cEff
XY,4,chain,0.05,1,0.0003661787,2.3435
XY,4,chain,0.05,2,0.0003661787,2.3435
XY,4,chain,0.05,3,0.0003661787,2.3435
XY,4,chain,0.1,1,0.0014654613,2.3447
XY,4,chain,0.1,2,0.0014654613,2.3447
XY,4,chain,0.1,3,0.0014654613,2.3447
XY,4,chain,0.2,1,0.0058738564,2.3495
XY,4,chain,0.2,2,0.0058738564,2.3495
XY,4,chain,0.2,3,0.0058738564,2.3495
Heis,4,chain,0.05,1,0.00036615,2.3434
Heis,4,chain,0.05,2,0.0003660357,2.3426
Heis,4,chain,0.05,3,0.00036615,2.3434
Heis,4,chain,0.1,1,0.0014650027,2.344
Heis,4,chain,0.1,2,0.0014631755,2.3411
Heis,4,chain,0.1,3,0.0014650027,2.344
Heis,4,chain,0.2,1,0.0058664683,2.3466
Heis,4,chain,0.2,2,0.0058373927,2.335
Heis,4,chain,0.2,3,0.0058664683,2.3466
XY,4,ring,0.05,1,0.0012507822,8.005
XY,4,ring,0.05,2,0.0012499995,8
XY,4,ring,0.05,3,0.0012507822,8.005
XY,4,ring,0.1,1,0.0050125629,8.0201
XY,4,ring,0.1,2,0.0049999686,7.9999
XY,4,ring,0.1,3,0.0050125629,8.0201
XY,4,ring,0.2,1,0.0202041029,8.0816
XY,4,ring,0.2,2,0.0199979598,7.9992
XY,4,ring,0.2,3,0.0202041029,8.0816
Heis,4,ring,0.05,1,0.0012507822,8.005
Heis,4,ring,0.05,2,0.0012492185,7.995
Heis,4,ring,0.05,3,0.0012507822,8.005
Heis,4,ring,0.1,1,0.0050125629,8.0201
Heis,4,ring,0.1,2,0.0049874846,7.98
Heis,4,ring,0.1,3,0.0050125629,8.0201
Heis,4,ring,0.2,1,0.0202041029,8.0816
Heis,4,ring,0.2,2,0.0197990698,7.9196
Heis,4,ring,0.2,3,0.0202041029,8.0816
XY,5,chain,0.05,1,0.0002387533,2.3875
XY,5,chain,0.05,2,0.0002387533,2.3875
XY,5,chain,0.05,3,0.0002387533,2.3875
XY,5,chain,0.05,4,0.0002387533,2.3875
XY,5,chain,0.1,1,0.0009553083,2.3883
XY,5,chain,0.1,2,0.0009553083,2.3883
XY,5,chain,0.1,3,0.0009553083,2.3883
XY,5,chain,0.1,4,0.0009553083,2.3883
XY,5,chain,0.2,1,0.0038259691,2.3912
XY,5,chain,0.2,2,0.0038259691,2.3912
XY,5,chain,0.2,3,0.0038259691,2.3912
XY,5,chain,0.2,4,0.0038259691,2.3912
Heis,5,chain,0.05,1,0.000238743,2.3874
Heis,5,chain,0.05,2,0.0002386711,2.3867
Heis,5,chain,0.05,3,0.0002386711,2.3867
Heis,5,chain,0.05,4,0.000238743,2.3874
Heis,5,chain,0.1,1,0.0009551431,2.3879
Heis,5,chain,0.1,2,0.0009539946,2.385
Heis,5,chain,0.1,3,0.0009539946,2.385
Heis,5,chain,0.1,4,0.0009551431,2.3879
Heis,5,chain,0.2,1,0.0038233145,2.3896
Heis,5,chain,0.2,2,0.0038050873,2.3782
Heis,5,chain,0.2,3,0.0038050873,2.3782
Heis,5,chain,0.2,4,0.0038233145,2.3896
XY,5,ring,0.05,1,0.0008639153,8.6392
XY,5,ring,0.05,2,0.0008639153,8.6392
XY,5,ring,0.05,3,0.0008639153,8.6392
XY,5,ring,0.05,4,0.0008639153,8.6392
XY,5,ring,0.1,1,0.0034579043,8.6448
XY,5,ring,0.1,2,0.0034579043,8.6448
XY,5,ring,0.1,3,0.0034579043,8.6448
XY,5,ring,0.1,4,0.0034579043,8.6448
XY,5,ring,0.2,1,0.0138677387,8.6673
XY,5,ring,0.2,2,0.0138677387,8.6673
XY,5,ring,0.2,3,0.0138677387,8.6673
XY,5,ring,0.2,4,0.0138677387,8.6673
Heis,5,ring,0.05,1,0.0008639153,8.6392
Heis,5,ring,0.05,2,0.0008635555,8.6356
Heis,5,ring,0.05,3,0.0008635555,8.6356
Heis,5,ring,0.05,4,0.0008639153,8.6392
Heis,5,ring,0.1,1,0.0034579043,8.6448
Heis,5,ring,0.1,2,0.0034521477,8.6304
Heis,5,ring,0.1,3,0.0034521477,8.6304
Heis,5,ring,0.1,4,0.0034579043,8.6448
Heis,5,ring,0.2,1,0.0138677387,8.6673
Heis,5,ring,0.2,2,0.0137756819,8.6098
Heis,5,ring,0.2,3,0.0137756819,8.6098
Heis,5,ring,0.2,4,0.0138677387,8.6673
XY,6,chain,0.05,1,0.0001674796,2.4117
XY,6,chain,0.05,2,0.0001674796,2.4117
XY,6,chain,0.05,3,0.0001674796,2.4117
XY,6,chain,0.05,4,0.0001674796,2.4117
XY,6,chain,0.05,5,0.0001674796,2.4117
XY,6,chain,0.1,1,0.000670055,2.4122
XY,6,chain,0.1,2,0.000670055,2.4122
XY,6,chain,0.1,3,0.000670055,2.4122
XY,6,chain,0.1,4,0.000670055,2.4122
XY,6,chain,0.1,5,0.000670055,2.4122
XY,6,chain,0.2,1,0.0026824102,2.4142
XY,6,chain,0.2,2,0.0026824102,2.4142
XY,6,chain,0.2,3,0.0026824102,2.4142
XY,6,chain,0.2,4,0.0026824102,2.4142
XY,6,chain,0.2,5,0.0026824102,2.4142
Heis,6,chain,0.05,1,0.0001674753,2.4116
Heis,6,chain,0.05,2,0.0001674317,2.411
Heis,6,chain,0.05,3,0.0001674172,2.4108
Heis,6,chain,0.05,4,0.0001674317,2.411
Heis,6,chain,0.05,5,0.0001674753,2.4116
Heis,6,chain,0.1,1,0.0006699852,2.4119
Heis,6,chain,0.1,2,0.0006692898,2.4094
Heis,6,chain,0.1,3,0.0006690577,2.4086
Heis,6,chain,0.1,4,0.0006692898,2.4094
Heis,6,chain,0.1,5,0.0006699852,2.4119
Heis,6,chain,0.2,1,0.0026812893,2.4132
Heis,6,chain,0.2,2,0.0026702735,2.4032
Heis,6,chain,0.2,3,0.002666585,2.3999
Heis,6,chain,0.2,4,0.0026702735,2.4032
Heis,6,chain,0.2,5,0.0026812893,2.4132
XY,6,ring,0.05,1,0.0006250977,9.0014
XY,6,ring,0.05,2,0.0006250977,9.0014
XY,6,ring,0.05,3,0.0006250977,9.0014
XY,6,ring,0.05,4,0.0006250977,9.0014
XY,6,ring,0.05,5,0.0006250977,9.0014
XY,6,ring,0.1,1,0.0025015654,9.0056
XY,6,ring,0.1,2,0.0025015635,9.0056
XY,6,ring,0.1,3,0.0025015654,9.0056
XY,6,ring,0.1,4,0.0025015635,9.0056
XY,6,ring,0.1,5,0.0025015654,9.0056
XY,6,ring,0.2,1,0.0100251896,9.0227
XY,6,ring,0.2,2,0.010025062,9.0226
XY,6,ring,0.2,3,0.0100251896,9.0227
XY,6,ring,0.2,4,0.010025062,9.0226
XY,6,ring,0.2,5,0.0100251896,9.0227
Heis,6,ring,0.05,1,0.0006250977,9.0014
Heis,6,ring,0.05,2,0.0006249024,8.9986
Heis,6,ring,0.05,3,0.0006248374,8.9977
Heis,6,ring,0.05,4,0.0006249024,8.9986
Heis,6,ring,0.05,5,0.0006250977,9.0014
Heis,6,ring,0.1,1,0.0025015654,9.0056
Heis,6,ring,0.1,2,0.0024984423,8.9944
Heis,6,ring,0.1,3,0.0024974066,8.9907
Heis,6,ring,0.1,4,0.0024984423,8.9944
Heis,6,ring,0.1,5,0.0025015654,9.0056
Heis,6,ring,0.2,1,0.0100251896,9.0227
Heis,6,ring,0.2,2,0.0099753007,8.9778
Heis,6,ring,0.2,3,0.0099590031,8.9631
Heis,6,ring,0.2,4,0.0099753007,8.9778
Heis,6,ring,0.2,5,0.0100251896,9.0227
